transaction_id,transaction_line_id,customer_id,product_id,product_name,product_category,branch_id,staff_id,channel_id,transaction_date,quantity,unit_price,discount_applied,payment_mode,voucher_redeemed_flag,is_upsell,is_returned,grand_total,net_price,month,customer_age,target_multiplier,latitude,longitude,is_churned
f2f01a04-16c8-4fcd-bd37-19fc5596f8aa,f2f01a04-1,CUST0906,PROD015,Lenovo ThinkPad,Mobile & Computing,BR01,STF01,In-Store,2025-01-22 15:54:24,1,100985.75,5049.29,Cash,No,No,No,95936.46,95936.46,1,42,1.1660000000000001,-1.289311,36.8124,0
f2f01a04-16c8-4fcd-bd37-19fc5596f8aa,f2f01a04-2,CUST0906,PROD039,Echo Dot 5th Gen,Smart Home & Appliances,BR01,STF01,In-Store,2025-01-22 15:54:24,1,16487.27,329.75,Cash,No,No,No,16157.52,16157.52,1,42,1.1660000000000001,-1.289311,36.8124,0
f2f01a04-16c8-4fcd-bd37-19fc5596f8aa,f2f01a04-3,CUST0906,PROD025,Hisense ULED,Entertainment & Gaming,BR01,STF01,In-Store,2025-01-22 15:54:24,1,79674.72,3983.74,Cash,No,No,No,75690.98,75690.98,1,42,1.1660000000000001,-1.289311,36.8124,0
f2f01a04-16c8-4fcd-bd37-19fc5596f8aa,f2f01a04-4,CUST0906,PROD014,Asus ROG Laptop,Mobile & Computing,BR01,STF01,In-Store,2025-01-22 15:54:24,1,187132.67,18713.27,Cash,No,No,No,168419.40000000002,168419.40000000002,1,42,1.1660000000000001,-1.289311,36.8124,0
d9a9641f-ea84-4ed0-8282-795caeb14b31,d9a9641f-1,CUST0577,PROD029,Steam Deck,Entertainment & Gaming,BR09,STF09,B2B,2024-11-20 16:49:05,3,84799.64,0.0,Card,No,Yes,No,254398.91999999998,84799.64,11,71,1.0918,-1.377599,36.851364,0
d9a9641f-ea84-4ed0-8282-795caeb14b31,d9a9641f-2,CUST0577,PROD016,Apple Watch Series 9,Wearables & Accessories,BR09,STF09,B2B,2024-11-20 16:49:05,1,64461.57,0.0,Card,No,Yes,No,64461.57,64461.57,11,71,1.0918,-1.377599,36.851364,0
075fb05e-cb80-43fc-88e3-0ff6b2ae60ae,075fb05e-1,CUST0553,PROD009,Canon EOS R6,Entertainment & Gaming,BR01,STF01,In-Store,2023-10-26 14:03:18,2,280937.2,11237.49,Card,No,No,No,550636.91,275318.455,10,61,1.04,-1.289311,36.8124,0
075fb05e-cb80-43fc-88e3-0ff6b2ae60ae,075fb05e-2,CUST0553,PROD006,Sony WH-1000XM5,Wearables & Accessories,BR01,STF01,In-Store,2023-10-26 14:03:18,3,40742.13,12222.64,Card,No,No,No,110003.74999999999,36667.916666666664,10,61,1.04,-1.289311,36.8124,0
075fb05e-cb80-43fc-88e3-0ff6b2ae60ae,075fb05e-3,CUST0553,PROD011,iPad Pro 12.9,Mobile & Computing,BR01,STF01,In-Store,2023-10-26 14:03:18,1,154684.98,0.0,Card,No,No,No,154684.98,154684.98,10,61,1.04,-1.289311,36.8124,0
7ecd51ef-5998-4b7a-845c-8b228648dfb2,7ecd51ef-1,CUST0143,PROD027,Xbox Series X,Entertainment & Gaming,BR10,STF10,B2B,2024-09-12 19:09:23,2,80926.72,3237.07,BNPL,No,Yes,No,158616.37,79308.185,9,34,1.03,-4.038771,39.671734,1
7ecd51ef-5998-4b7a-845c-8b228648dfb2,7ecd51ef-2,CUST0143,PROD024,TCL 4K Smart TV,Entertainment & Gaming,BR10,STF10,B2B,2024-09-12 19:09:23,3,67023.23,0.0,BNPL,No,Yes,No,201069.69,67023.23,9,34,1.03,-4.038771,39.671734,1
7ecd51ef-5998-4b7a-845c-8b228648dfb2,7ecd51ef-3,CUST0143,PROD008,JBL Flip 6,Entertainment & Gaming,BR10,STF10,B2B,2024-09-12 19:09:23,2,14368.16,0.0,BNPL,No,Yes,No,28736.32,14368.16,9,34,1.03,-4.038771,39.671734,1
7ecd51ef-5998-4b7a-845c-8b228648dfb2,7ecd51ef-4,CUST0143,PROD040,Google Nest Hub,Smart Home & Appliances,BR10,STF10,B2B,2024-09-12 19:09:23,3,44943.5,0.0,BNPL,No,Yes,No,134830.5,44943.5,9,34,1.03,-4.038771,39.671734,1
ece44da0-6425-4814-bba6-d3a8d010b3f8,ece44da0-1,CUST0769,PROD044,Wyze Cam v3,Smart Home & Appliances,BR01,STF01,Online,2025-04-14 18:03:38,1,13425.24,2013.79,Card,Yes,No,No,11411.45,11411.45,4,45,1.1448,-1.289311,36.8124,0
