transaction_id,transaction_line_id,customer_id,product_id,product_name,product_category,branch_id,staff_id,channel_id,transaction_date,quantity,unit_price,discount_applied,payment_mode,voucher_redeemed_flag,is_upsell,is_returned,grand_total,net_price,month,customer_age,target_multiplier,latitude,longitude
488cc41e-d134-417b-90c4-73e738da7b0e,488cc41e-1,CUST0077,PROD009,Canon EOS R6,Entertainment & Gaming,BR05,STF05,In-Store,2023-01-06,2,345926.26,13837.05,Cash,Yes,No,No,678015.47,339007.735,1,69,1.15,-1.289311,36.8124
05416442-fa09-48b7-9164-4b9ef49d4bd4,05416442-1,CUST0232,PROD009,Canon EOS R6,Entertainment & Gaming,BR03,STF03,B2B,2024-08-26,2,345926.26,13837.05,Card,No,No,No,678015.47,339007.735,8,72,1.22,-1.377599,36.851364
587c211c-3837-46f8-92d3-439b2e9fe166,587c211c-1,CUST0177,PROD044,Wyze Cam v3,Smart Home & Appliances,BR01,STF01,Online,2025-06-05,2,11268.46,0.0,BNPL,No,No,No,22536.92,11268.46,6,74,1.1,-4.038771,39.671734
587c211c-3837-46f8-92d3-439b2e9fe166,587c211c-2,CUST0177,PROD047,Anker PowerBank,Mobile & Computing,BR01,STF01,Online,2025-06-05,1,13466.74,0.0,BNPL,No,No,No,13466.74,13466.74,6,74,1.1,-4.038771,39.671734
587c211c-3837-46f8-92d3-439b2e9fe166,587c211c-3,CUST0177,PROD030,Asus ROG Ally,Entertainment & Gaming,BR01,STF01,Online,2025-06-05,1,150172.56,0.0,BNPL,No,No,No,150172.56,150172.56,6,74,1.1,-4.038771,39.671734
587c211c-3837-46f8-92d3-439b2e9fe166,587c211c-4,CUST0177,PROD003,MacBook Air M3,Mobile & Computing,BR01,STF01,Online,2025-06-05,3,220896.66,0.0,BNPL,No,No,No,662689.98,220896.66,6,74,1.1,-4.038771,39.671734
587c211c-3837-46f8-92d3-439b2e9fe166,587c211c-5,CUST0177,PROD013,Microsoft Surface,Mobile & Computing,BR01,STF01,Online,2025-06-05,1,171334.2,0.0,BNPL,No,No,No,171334.2,171334.2,6,74,1.1,-4.038771,39.671734
d24856c7-73d2-4041-a5d4-2f85277d4a09,d24856c7-1,CUST0298,PROD029,Steam Deck,Entertainment & Gaming,BR01,STF01,Online,2023-10-04,1,119914.11,0.0,BNPL,No,No,No,119914.11,119914.11,10,23,1.07,-4.038771,39.671734
d24856c7-73d2-4041-a5d4-2f85277d4a09,d24856c7-2,CUST0298,PROD013,Microsoft Surface,Mobile & Computing,BR01,STF01,Online,2023-10-04,2,171334.2,17133.42,BNPL,No,No,No,325534.98000000004,162767.49000000002,10,23,1.07,-4.038771,39.671734
d24856c7-73d2-4041-a5d4-2f85277d4a09,d24856c7-3,CUST0298,PROD043,Nest Cam,Smart Home & Appliances,BR01,STF01,Online,2023-10-04,2,24412.17,0.0,BNPL,No,No,No,48824.34,24412.17,10,23,1.07,-4.038771,39.671734
