journey_id,customer_id,product_id,product_name,stage,stage_date,campaign_name,hashtags,campaign_open,campaign_click,conversion_flag,customer_age
706a021f-9d0b-4574-80e6-f59af5390b37,CUST0773,PROD001,iPhone 15 Pro,Lead,2024-01-09 05:31:00,SpringSavings,#unboxing #electronics,Yes,No,No,50
706a021f-9d0b-4574-80e6-f59af5390b37,CUST0773,PROD001,iPhone 15 Pro,Awareness,2024-01-16 10:43:00,SpringSavings,#unboxing #electronics,Yes,No,No,50
706a021f-9d0b-4574-80e6-f59af5390b37,CUST0773,PROD001,iPhone 15 Pro,Consideration,2024-02-08 09:59:00,SpringSavings,#unboxing #electronics,Yes,No,No,50
706a021f-9d0b-4574-80e6-f59af5390b37,CUST0773,PROD001,iPhone 15 Pro,Purchase,2024-02-11 12:09:00,SpringSavings,#unboxing #electronics,Yes,No,Yes,50
706a021f-9d0b-4574-80e6-f59af5390b37,CUST0773,PROD001,iPhone 15 Pro,Service,2024-01-29 17:32:00,SpringSavings,#unboxing #electronics,Yes,No,Yes,50
706a021f-9d0b-4574-80e6-f59af5390b37,CUST0773,PROD001,iPhone 15 Pro,Loyalty,2024-03-04 03:21:00,SpringSavings,#unboxing #electronics,Yes,No,Yes,50
706a021f-9d0b-4574-80e6-f59af5390b37,CUST0773,PROD001,iPhone 15 Pro,Advocacy,2024-03-27 18:10:00,SpringSavings,#unboxing #electronics,Yes,No,Yes,50
da84f971-e489-4e0f-aab2-15b32271a1a9,CUST0340,PROD004,Dell XPS 13,Lead,2024-05-02 19:43:00,HolidayTechSale,#productlove #newtech,Yes,Yes,No,40
da84f971-e489-4e0f-aab2-15b32271a1a9,CUST0340,PROD004,Dell XPS 13,Awareness,2024-05-10 11:48:00,HolidayTechSale,#productlove #newtech,Yes,Yes,No,40
da84f971-e489-4e0f-aab2-15b32271a1a9,CUST0340,PROD004,Dell XPS 13,Consideration,2024-05-26 18:24:00,HolidayTechSale,#productlove #newtech,Yes,Yes,No,40
6359f0e5-977f-46b5-ac60-7e01610e371e,CUST0377,PROD038,Sonos One,Lead,2023-08-02 11:41:00,HolidayTechSale,#newtech #unboxing #productlove,Yes,Yes,No,45
